country,continent,year,lifeExp,pop,gdpPercap
Swaziland,Africa,2007,39.613,1133066,4513.480643
Zambia,Africa,2002,39.193,10595811,1071.613938
Zimbabwe,Africa,2002,39.989,11926563,672.0386227
Botswana,Africa,2002,46.634,1630347,11003.60508
Rwanda,Africa,1992,23.599,7290203,737.0685949
Cambodia,Asia,1977,31.22,6978607,524.9721832
Afghanistan,Asia,1952,28.801,8425333,779.4453145
Gambia,Africa,1952,30,284320,485.2306591
Angola,Africa,1952,30.015,4232095,3520.610273
Sierra Leone,Africa,1952,30.331,2143249,879.7877358
Mozambique,Africa,1952,31.286,6446316,468.5260381
Burkina Faso,Africa,1952,31.975,4469979,543.2552413
Guinea-Bissau,Africa,1952,32.5,580653,299.850319
"Yemen, Rep.",Asia,1952,32.548,4963829,781.7175761
Somalia,Africa,1952,32.978,2526994,1135.749842
Guinea,Africa,1952,33.609,2664249,510.1964923
Mali,Africa,1952,33.685,3838168,452.3369807
Ethiopia,Africa,1952,34.078,20860941,362.1462796
Equatorial Guinea,Africa,1952,34.482,216964,375.6431231
Djibouti,Africa,1952,34.812,63149,2669.529475
Central African Republic,Africa,1952,35.463,1291695,1071.310713
Eritrea,Africa,1952,35.928,1438760,328.9405571
Nepal,Asia,1952,36.157,9182536,545.8657229
Malawi,Africa,1952,36.256,2917802,369.1650802
Myanmar,Asia,1952,36.319,20092996,331
Nigeria,Africa,1952,36.324,33119096,1077.281856
Madagascar,Africa,1952,36.681,4762912,1443.011715
Gabon,Africa,1952,37.003,420702,4293.476475
Senegal,Africa,1952,37.278,2755589,1450.356983
India,Asia,1952,37.373,372000000,546.5657493
Niger,Africa,1952,37.444,3379468,761.879376
Indonesia,Asia,1952,37.468,82052000,749.6816546
Bangladesh,Asia,1952,37.484,46886859,684.2441716
Oman,Asia,1952,37.578,507833,1828.230307
Haiti,Americas,1952,37.579,3201488,1840.366939
Chad,Africa,1952,38.092,2682462,1178.665927
Benin,Africa,1952,38.223,1738315,1062.7522
Liberia,Africa,1952,38.48,863308,575.5729961
Cameroon,Africa,1952,38.523,5009067,1172.667655
Togo,Africa,1952,38.596,1219113,859.8086567
Sudan,Africa,1952,38.635,8504667,1615.991129
Burundi,Africa,1952,39.031,2445618,339.2964587
"Congo, Dem. Rep.",Africa,1952,39.143,14100005,780.5423257
Saudi Arabia,Asia,1952,39.875,4005677,6459.554823
Uganda,Africa,1952,39.978,5824797,734.753484
Vietnam,Asia,1952,40.412,26246839,605.0664917
Bolivia,Americas,1952,40.414,2883315,2677.326347
Cote d'Ivoire,Africa,1952,40.477,2977019,1388.594732
Mauritania,Africa,1952,40.543,1022556,743.1159097
Comoros,Africa,1952,40.715,153936,1102.990936
Tanzania,Africa,1952,41.215,8322925,716.6500721
Namibia,Africa,1952,41.725,485831,2423.780443
Egypt,Africa,1952,41.893,22223309,1418.822445
Honduras,Americas,1952,41.912,1517453,2194.926204
Guatemala,Americas,1952,42.023,3146381,2428.237769
"Congo, Rep.",Africa,1952,42.111,854885,2125.621418
Lesotho,Africa,1952,42.138,748747,298.8462121
Mongolia,Asia,1952,42.244,800663,786.5668575
Kenya,Africa,1952,42.27,6464046,853.540919
Nicaragua,Americas,1952,42.314,1165790,3112.363948
Libya,Africa,1952,42.723,1019729,2387.54806
Morocco,Africa,1952,42.873,9939217,1688.20357
Algeria,Africa,1952,43.077,9279525,2449.008185
Ghana,Africa,1952,43.149,5581001,911.2989371
Jordan,Asia,1952,43.158,607914,1546.907807
West Bank and Gaza,Asia,1952,43.16,1030585,1515.592329
Pakistan,Asia,1952,43.436,41346560,684.5971438
Turkey,Europe,1952,43.585,22235677,1969.10098
Peru,Americas,1952,43.902,8025700,3758.523437
China,Asia,1952,44,556263527,400.448611
Tunisia,Africa,1952,44.6,3647735,1468.475631
Iran,Asia,1952,44.869,17272000,3035.326002
South Africa,Africa,1952,45.009,14264935,4725.295531
El Salvador,Americas,1952,45.262,2042865,3048.3029
Iraq,Asia,1952,45.32,5441766,4129.766056
Syria,Asia,1952,45.883,3661549,1643.485354
Dominican Republic,Americas,1952,45.928,2491346,1397.717137
Sao Tome and Principe,Africa,1952,46.471,60011,879.5835855
"Korea, Rep.",Asia,1952,47.453,20947571,1030.592226
Philippines,Asia,1952,47.752,22438691,1272.880995
Ecuador,Americas,1952,48.357,3548753,3522.110717
Malaysia,Asia,1952,48.463,6748378,1831.132894
"Korea, Dem. Rep.",Asia,1952,50.056,8865488,1088.277758
Colombia,Americas,1952,50.643,12350771,2144.115096
Mexico,Americas,1952,50.789,30144317,3478.125529
Thailand,Asia,1952,50.848,21289402,757.7974177
Brazil,Americas,1952,50.917,56602560,2108.944355
Bahrain,Asia,1952,50.939,120447,9867.084765
Mauritius,Africa,1952,50.986,516556,1967.955707
Reunion,Africa,1952,52.724,257700,2718.885295
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.5331948
Chile,Americas,1952,54.745,6377619,3939.978789
Venezuela,Americas,1952,55.088,5439568,7689.799761
Panama,Americas,1952,55.191,940080,2480.380334
Albania,Europe,1952,55.23,1282697,1601.056136
Kuwait,Asia,1952,55.565,160000,108382.3529
Lebanon,Asia,1952,55.928,1439529,4834.804067
Costa Rica,Americas,1952,57.206,926317,2627.009471
Sri Lanka,Asia,1952,57.593,7982342,1083.53203
Serbia,Europe,1952,57.996,6860147,3581.459448
Taiwan,Asia,1952,58.5,8550362,1206.947913
Jamaica,Americas,1952,58.53,1426095,2898.530881
Trinidad and Tobago,Americas,1952,59.1,662850,3023.271928
Montenegro,Europe,1952,59.164,413834,2647.585601
Cuba,Americas,1952,59.421,6007797,5586.53878
Bulgaria,Europe,1952,59.6,7274900,2444.286648
Portugal,Europe,1952,59.82,8526050,3068.319867
Singapore,Asia,1952,60.396,1127000,2315.138227
"Hong Kong, China",Asia,1952,60.96,2125900,3054.421209
Romania,Europe,1952,61.05,16630000,3144.613186
Croatia,Europe,1952,61.21,3882229,3119.23652
Poland,Europe,1952,61.31,25730551,4029.329699
Argentina,Americas,1952,62.485,17876956,5911.315053
Paraguay,Americas,1952,62.649,1555876,1952.308701
Japan,Asia,1952,63.03,86459025,3216.956347
Hungary,Europe,1952,64.03,9504000,5263.673816
Puerto Rico,Americas,1952,64.28,2227000,3081.959785
Slovak Republic,Europe,1952,64.36,3558137,5074.659104
Spain,Europe,1952,64.94,28549870,3834.034742
Israel,Asia,1952,65.39,1620914,4086.522128
Slovenia,Europe,1952,65.57,1489518,4215.041741
Greece,Europe,1952,65.86,7733250,3530.690067
Italy,Europe,1952,65.94,47666000,4931.404155
Uruguay,Americas,1952,66.071,2252965,5716.766744
Finland,Europe,1952,66.55,4090500,6424.519071
Austria,Europe,1952,66.8,6927772,6137.076492
Czech Republic,Europe,1952,66.87,9125183,6876.14025
Ireland,Europe,1952,66.91,2952156,5210.280328
France,Europe,1952,67.41,42459667,7029.809327
Germany,Europe,1952,67.5,69145952,7144.114393
Belgium,Europe,1952,68,8730405,8343.105127
United States,Americas,1952,68.44,157553000,13990.48208
Canada,Americas,1952,68.75,14785584,11367.16112
Australia,Oceania,1952,69.12,8691212,10039.59564
United Kingdom,Europe,1952,69.18,50430000,9979.508487
New Zealand,Oceania,1952,69.39,1994794,10556.57566
Switzerland,Europe,1952,69.62,4815000,14734.23275
Denmark,Europe,1952,70.78,4334000,9692.385245
Sweden,Europe,1952,71.86,7124673,8527.844662
Netherlands,Europe,1952,72.13,10381988,8941.571858
Iceland,Europe,1952,72.49,147962,7267.688428
Norway,Europe,1952,72.67,3327728,10095.42172
